大臺北地區捷運車站出入口,,,,
項次,出入口名稱,出入口?編號,坐標X(TWD97),坐標Y(TWD97)
1,七張站出口1,1,304822.2785,2763116.181
2,七張站出口2,2,304785.1318,2763328.795
3,三民高中站出口1,1,297665.9213,2775329.609
4,三民高中站出口2,2,297786.5323,2775362.928
5,三和國中站出口1,1,299074.7207,2774324.59
6,三和國中站出口2,2,299117.6744,2774396.367
7,三重站出口1,1,298789.6965,2771972.124
8,三重站出口2,2,298902.711,2772005.71
9,三重站出口3,3,298909.0006,2772087.639
10,三重國小站出口,0,300138.8584,2773700.338
11,土城站出口1,1,294845.0473,2762887.308
12,土城站出口2,2,294794.5769,2762822.078
13,土城站出口3,3,294955.2249,2762938.996
14,士林站出口1,1,303044.7368,2776342.862
15,士林站出口2,2,303099.7995,2776155.835
16,大安站出口1,1,304683.8712,2769622.692
17,大安站出口2,2,304587.2454,2769618.891
18,大安站出口3,3,304714.8829,2769570.031
19,大安站出口4,4,304904.8573,2769562.37
20,大安站出口5,5,304876.9614,2769525.925
21,大安站出口6,6,304879.4832,2769672.954
22,大安森林公園站出口1,1,303927.9531,2769641.513
23,大安森林公園站出口2,2,303954.1355,2769563.575
24,大安森林公園站出口3,3,304000.8665,2769551.079
25,大安森林公園站出口4,4,304045.3547,2769548.145
26,大安森林公園站出口5,5,304107.1539,2769558.184
27,大安森林公園站出口6,6,304097.455,2769625.438
28,大坪林站出口1,1,304604.1569,2763975.296
29,大坪林站出口2,2,304697.2415,2763918.074
30,大坪林站出口3,3,304674.4936,2764000.901
31,大坪林站出口4,4,304651.6286,2764081.341
32,大直站出口1,1,305170.3257,2774780.149
33,大直站出口2,2,305159.8838,2774723.692
34,大直站出口3,3,305203.3031,2774681.971
35,大湖公園站出口1,1,310800.392,2775202.276
36,大湖公園站出口2,2,310736.9415,2775132.347
37,大橋頭站出口1,1,301667.6727,2772872.852
38,大橋頭站出口2,2,301772.6429,2772863.145
39,大橋頭站出口3,3,301784.2999,2772935.155
40,小南門站出口1,1,301433.6293,2769912.735
41,小南門站出口2,2,301448.6997,2769834.316
42,小南門站出口3,3,301557.4917,2769790.873
43,小南門站出口4,4,301619.0414,2769774.758
44,小碧潭站出口1,1,303493.5192,2762751.12
45,小碧潭站出口2,2,303505.4278,2762911.859
46,中山地下街出口R1,R1,302368.1948,2771259.844
47,中山地下街出口R10,R10,302532.2714,2772076.592
48,中山地下街出口R11,R11,302523.5183,2772118.504
49,中山地下街出口R2,R2,302436.2225,2771364.651
50,中山地下街出口R3,R3,302460.9664,2771389.687
51,中山地下街出口R4,R4,302482.6715,2771470.264
52,中山地下街出口R5,R5,302497.2203,2771572.092
53,中山地下街出口R6,R6,302501.1557,2771609.263
54,中山地下街出口R7,R7,302500.5964,2771773.084
55,中山地下街出口R8,R8,302513.5401,2771875.975
56,中山地下街出口R9,R9,302517.5192,2771976.712
57,中山站出口1,1,302499.6059,2771686.16
58,中山站出口2,2,302558.8998,2771679.44
59,中山站出口3,3,302561.6441,2771717.861
60,中山站出口4,4,302497.1499,2771726.783
61,中山站出口5,5,302409.0992,2771753
62,中山站出口6,6,302362.1773,2771716.468
63,中山國小站出口1,1,303058.6572,2772839.334
64,中山國小站出口2,2,303061.4185,2772808.927
65,中山國小站出口3,3,303182.452,2772803.404
66,中山國小站出口4,4,303170.0043,2772835.88
67,中山國中站出口,0,304883.0418,2772616.43
68,中正紀念堂站出口1,1,302245.8871,2769548.39
69,中正紀念堂站出口2,2,302302.0523,2769469.066
70,中正紀念堂站出口3,3,302372.9029,2769436.714
71,中正紀念堂站出口4,4,302271.2118,2769592.906
72,中正紀念堂站出口5,5,302173.3229,2769778.693
73,中正紀念堂站出口6,6,302127.1885,2769853.265
74,中正紀念堂站出口7,7,302049.3719,2769710.766
75,丹鳳站出口1,1,292634.2322,2769077.654
76,丹鳳站出口2,2,292634.8064,2768993.868
77,內湖站出口1,1,309963.2814,2775211.322
78,內湖站出口2,2,309996.4575,2775153.894
79,公館站出口1,1,303930.518,2767450.562
